ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Caffeine,Cannabis,Chocolate,Legal High,Nicotine,Illicit Drugs
82,55-64,1.82213,Female,University Degree,UK,White,-0.79151,-1.23177,-0.01928,-0.91699,-0.14277,0.88113,0.40148,CL5,CL6,CL2,CL6,CL0,CL1,1
83,55-64,1.82213,Male,Masters Degree,Canada,White,-2.05048,1.45421,-0.97631,0.59042,1.46191,-0.21712,-1.18084,CL5,CL6,CL0,CL6,CL0,CL0,0
84,55-64,1.82213,Female,Left at 17,UK,White/Black,1.02119,-0.94779,-1.11902,1.45039,-1.64101,0.19268,-0.21575,CL3,CL6,CL1,CL6,CL0,CL6,1
85,45-54,1.09449,Male,Left at 16,UK,White,-0.34799,0.16767,-0.31776,-0.30172,-0.14277,-1.37983,0.07987,CL5,CL6,CL2,CL4,CL0,CL0,0
86,25-34,-0.07854,Female,Left at 18,UK,White,-0.46725,0.00332,-1.55521,0.13136,0.41594,0.52975,1.22470,CL3,CL6,CL1,CL6,CL0,CL6,1
87,35-44,0.49788,Male,Some College,UK,White,0.73545,-0.15487,-1.11902,0.13136,-0.14277,-0.21712,0.40148,CL5,CL6,CL1,CL5,CL0,CL6,1
88,55-64,1.82213,Male,Left at 16,UK,White,-0.92104,0.16767,-0.45174,-0.30172,0.25953,-0.71126,0.40148,CL5,CL5,CL1,CL5,CL0,CL0,0
89,35-44,0.49788,Female,Some College,UK,White,0.31287,-1.92173,-1.42424,-0.76096,-0.52745,-1.37983,-2.07848,CL3,CL6,CL2,CL6,CL0,CL1,1
90,35-44,0.49788,Female,Masters Degree,UK,White,0.91093,-0.57545,0.29338,-0.60633,-0.27607,0.52975,-0.21575,CL5,CL6,CL0,CL5,CL0,CL0,1
91,35-44,0.49788,Female,Masters Degree,UK,White,1.37297,0.32197,0.72330,0.28783,-0.78155,-1.37983,0.07987,CL6,CL6,CL3,CL6,CL0,CL4,0
92,35-44,0.49788,Male,Professional Diploma,Canada,White,0.41667,-0.43999,0.72330,0.28783,0.75830,0.88113,0.76540,CL2,CL6,CL1,CL0,CL0,CL1,1
93,25-34,-0.07854,Male,Left at 18,UK,White,-1.55078,-0.30033,-0.45174,0.28783,-0.00665,-0.71126,-0.84637,CL4,CL6,CL1,CL6,CL0,CL1,0
94,65+,2.59171,Female,Left at 16,UK,White,-0.14882,-0.80615,-0.97631,0.76096,0.41594,-1.37983,-1.54858,CL3,CL6,CL0,CL6,CL0,CL0,0
95,45-54,1.09449,Male,Masters Degree,UK,White,-0.67825,-0.57545,-0.97631,0.59042,-0.14277,-1.37983,-2.07848,CL5,CL6,CL2,CL5,CL0,CL3,1
96,45-54,1.09449,Male,Masters Degree,UK,White,-0.46725,0.32197,1.06238,-1.62090,1.13407,0.52975,-0.21575,CL6,CL6,CL1,CL6,CL0,CL1,1
97,35-44,0.49788,Female,University Degree,Canada,White,0.13606,-1.09207,0.29338,-0.15487,0.75830,-1.37983,-1.54858,CL4,CL6,CL2,CL6,CL0,CL3,1
98,45-54,1.09449,Female,Masters Degree,UK,White,-0.46725,0.63779,-0.31776,-0.60633,-1.13788,0.19268,-0.84637,CL5,CL6,CL1,CL5,CL0,CL2,1
99,35-44,0.49788,Male,Doctorate Degree,Canada,White,-1.19430,-0.43999,-0.01928,-0.60633,0.93949,-0.21712,1.22470,CL4,CL6,CL1,CL4,CL0,CL2,1
100,25-34,-0.07854,Female,University Degree,UK,White,-0.67825,3.00537,0.72330,0.94156,1.63088,0.52975,0.40148,CL6,CL6,CL3,CL5,CL0,CL5,1
101,25-34,-0.07854,Male,Masters Degree,Other,White,-1.05308,2.57309,0.58331,-1.47955,-0.40581,-0.21712,1.22470,CL6,CL6,CL6,CL5,CL2,CL0,1
102,45-54,1.09449,Female,Left at 16,Australia,White,-0.58016,0.47617,-1.68062,-0.15487,0.93949,-1.37983,-0.84637,CL4,CL6,CL1,CL5,CL0,CL6,0
103,45-54,1.09449,Male,Left at 18,UK,White,-0.58016,1.28610,1.43533,-1.34289,-0.00665,-0.71126,1.22470,CL6,CL6,CL1,CL4,CL1,CL1,1
104,45-54,1.09449,Female,Professional Diploma,Canada,White,0.04257,0.63779,-0.31776,-0.30172,0.12331,0.19268,0.76540,CL4,CL6,CL0,CL6,CL0,CL0,0
105,25-34,-0.07854,Female,Some College,Canada,White,-0.92104,0.16767,-0.17779,1.11406,0.58489,-0.71126,0.07987,CL5,CL6,CL6,CL6,CL0,CL6,1
106,35-44,0.49788,Male,Professional Diploma,UK,White,-2.21844,0.47617,-1.82919,-0.76096,2.04506,-1.37983,-1.54858,CL3,CL6,CL0,CL6,CL0,CL0,0
107,25-34,-0.07854,Female,Some College,UK,White,1.02119,-0.30033,-1.82919,0.28783,-0.40581,-1.37983,-0.84637,CL4,CL5,CL0,CL5,CL0,CL0,0
108,35-44,0.49788,Female,Left at 16,UK,White,0.13606,0.00332,-1.27553,-0.76096,0.58489,0.52975,-0.21575,CL5,CL6,CL0,CL6,CL0,CL6,1
109,25-34,-0.07854,Female,University Degree,UK,White,-0.46725,2.12700,0.14143,0.13136,0.75830,1.86203,1.22470,CL5,CL6,CL3,CL6,CL0,CL1,1
110,45-54,1.09449,Female,Some College,UK,White,-0.79151,0.47617,-1.42424,-0.91699,-0.52745,-0.71126,0.07987,CL5,CL6,CL2,CL6,CL0,CL3,1
111,45-54,1.09449,Male,Masters Degree,UK,Asian,-0.14882,0.32197,0.14143,-0.30172,-0.14277,0.19268,-0.52593,CL5,CL6,CL0,CL6,CL0,CL0,0
112,25-34,-0.07854,Male,Masters Degree,UK,White,0.31287,-1.09207,-0.84732,-0.60633,-0.65253,0.19268,0.40148,CL6,CL6,CL3,CL0,CL0,CL0,1
113,25-34,-0.07854,Female,University Degree,UK,White,-1.19430,0.32197,0.88309,-1.21213,-0.78155,-0.21712,-0.21575,CL3,CL6,CL2,CL6,CL0,CL6,0
114,45-54,1.09449,Female,Professional Diploma,UK,White,0.04257,0.63779,0.29338,0.13136,0.75830,0.19268,-0.21575,CL4,CL6,CL2,CL4,CL0,CL6,1
115,35-44,0.49788,Male,Some College,UK,White,-2.34360,1.93886,1.43533,-0.76096,-1.38502,1.86203,1.22470,CL4,CL6,CL6,CL4,CL0,CL6,1
116,25-34,-0.07854,Female,Professional Diploma,Canada,White,0.22393,-0.57545,-0.84732,0.28783,1.13407,-1.37983,-2.07848,CL5,CL6,CL2,CL5,CL0,CL6,1
117,35-44,0.49788,Male,Professional Diploma,Canada,White,0.62967,-0.57545,0.14143,-1.77200,-0.40581,0.52975,-0.21575,CL4,CL4,CL2,CL6,CL0,CL6,0
118,25-34,-0.07854,Female,University Degree,UK,White,1.60383,0.80523,1.43533,0.13136,-1.13788,0.52975,0.40148,CL5,CL6,CL1,CL5,CL2,CL4,1
119,35-44,0.49788,Female,Some College,USA,White,1.83990,-1.92173,-2.39883,1.11406,0.25953,-0.21712,-1.54858,CL5,CL6,CL1,CL6,CL0,CL6,1
120,35-44,0.49788,Female,University Degree,UK,White,-0.34799,0.63779,-0.97631,0.28783,1.46191,-0.21712,-0.84637,CL5,CL4,CL0,CL5,CL0,CL2,0
121,25-34,-0.07854,Female,Masters Degree,UK,White,-1.05308,0.63779,-0.97631,-1.07533,0.75830,0.19268,1.92173,CL6,CL6,CL1,CL6,CL0,CL2,1
122,35-44,0.49788,Female,Professional Diploma,UK,White,1.49158,-1.23177,-1.55521,-2.07848,-0.78155,0.52975,0.07987,CL2,CL6,CL0,CL5,CL0,CL1,0
123,55-64,1.82213,Male,Masters Degree,UK,White,0.22393,0.16767,-0.17779,-0.30172,-0.89891,-0.21712,-0.52593,CL6,CL6,CL1,CL3,CL0,CL1,0
124,25-34,-0.07854,Female,University Degree,UK,White,0.22393,-0.69509,-0.45174,-0.01729,0.12331,1.29221,0.07987,CL5,CL6,CL3,CL5,CL0,CL3,1
125,45-54,1.09449,Male,Left at 16,UK,White,-0.34799,1.93886,0.29338,0.43852,0.58489,-0.21712,-0.21575,CL3,CL6,CL0,CL5,CL0,CL0,0
126,55-64,1.82213,Male,University Degree,UK,White,-0.46725,1.28610,0.44585,0.13136,1.13407,0.52975,0.40148,CL6,CL5,CL0,CL6,CL0,CL2,0
127,45-54,1.09449,Male,University Degree,UK,White,-1.19430,0.63779,-1.11902,-0.45321,-0.00665,-0.21712,-0.84637,CL5,CL5,CL1,CL5,CL0,CL0,1
128,45-54,1.09449,Female,Left at 17,UK,White,-0.34799,-0.80615,-0.84732,0.28783,0.93949,-1.37983,-2.07848,CL5,CL0,CL0,CL5,CL0,CL0,0
129,35-44,0.49788,Male,Doctorate Degree,UK,Asian,0.04257,0.63779,0.14143,0.13136,0.25953,-0.21712,-1.18084,CL0,CL1,CL0,CL3,CL0,CL1,1
130,45-54,1.09449,Female,Masters Degree,UK,White,-0.79151,0.96248,-1.11902,0.94156,0.41594,0.19268,0.40148,CL6,CL6,CL0,CL5,CL0,CL0,0
131,45-54,1.09449,Female,Left at 16,UK,White,0.91093,0.32197,-1.42424,0.43852,2.33337,-0.71126,-1.18084,CL5,CL6,CL0,CL4,CL0,CL0,0
132,45-54,1.09449,Female,Left at 16,UK,Other,-1.55078,-0.15487,-1.27553,2.46262,0.58489,-1.37983,-2.07848,CL4,CL6,CL0,CL5,CL0,CL6,1
133,35-44,0.49788,Female,Left at 18,Republic of Ireland,White,-0.24649,-0.57545,-0.58331,-0.15487,0.25953,-1.37983,-1.54858,CL4,CL6,CL0,CL6,CL0,CL6,0
134,35-44,0.49788,Male,Masters Degree,UK,White,-0.05188,0.16767,0.29338,-0.15487,0.12331,0.52975,0.40148,CL5,CL6,CL1,CL5,CL0,CL5,1
135,25-34,-0.07854,Female,Masters Degree,UK,White/Asian,3.27393,-1.50796,-0.31776,0.59042,-0.65253,-1.37983,0.40148,CL6,CL6,CL1,CL6,CL0,CL2,1
136,35-44,0.49788,Female,Left at 16,UK,White,-1.69163,1.58487,-0.58331,1.81866,1.63088,0.52975,-0.52593,CL1,CL6,CL0,CL5,CL0,CL0,0
137,45-54,1.09449,Female,University Degree,UK,White,-0.14882,-0.30033,-1.68062,1.81866,1.63088,1.29221,0.07987,CL5,CL6,CL1,CL5,CL0,CL0,0
138,45-54,1.09449,Female,University Degree,UK,White,-1.19430,1.58487,0.29338,0.76096,0.41594,-2.55524,-1.18084,CL4,CL5,CL0,CL5,CL0,CL5,0
139,55-64,1.82213,Male,University Degree,UK,White,-0.46725,-0.80615,0.14143,0.28783,0.93949,-1.37983,-1.18084,CL6,CL6,CL1,CL6,CL0,CL6,1
140,45-54,1.09449,Male,Left at 16,UK,White,-0.05188,0.32197,-0.58331,0.94156,-0.27607,-0.21712,-0.21575,CL6,CL6,CL1,CL5,CL0,CL6,0
141,25-34,-0.07854,Female,University Degree,UK,Asian,1.98437,0.32197,1.43533,0.94156,-0.27607,-0.71126,-0.21575,CL5,CL6,CL0,CL5,CL0,CL0,1
142,35-44,0.49788,Female,Left at 16,UK,White,-0.79151,0.63779,-1.11902,1.28610,0.58489,-1.37983,-2.07848,CL5,CL5,CL0,CL5,CL0,CL5,0
143,35-44,0.49788,Male,Left at 17,UK,White,-0.46725,-0.30033,-1.27553,0.28783,-0.14277,0.52975,0.40148,CL6,CL6,CL1,CL6,CL0,CL3,0
144,35-44,0.49788,Male,Professional Diploma,UK,Black,-1.69163,1.28610,-0.58331,1.28610,2.04506,-0.71126,-0.52593,CL1,CL6,CL0,CL6,CL0,CL0,0
145,45-54,1.09449,Male,Professional Diploma,Canada,White,0.13606,-1.09207,-0.45174,-1.21213,-0.00665,-0.21712,0.76540,CL6,CL6,CL3,CL5,CL0,CL1,1
146,45-54,1.09449,Female,University Degree,UK,White,-0.46725,0.16767,-1.11902,2.23427,0.75830,1.29221,0.40148,CL4,CL6,CL1,CL5,CL0,CL1,1
147,55-64,1.82213,Male,Professional Diploma,UK,White,0.22393,-1.23177,-0.17779,-0.45321,-0.27607,0.19268,-1.18084,CL6,CL6,CL1,CL5,CL0,CL0,1
148,35-44,0.49788,Male,Masters Degree,UK,Black,-0.58016,0.47617,-0.71727,0.13136,0.93949,-0.21712,-0.52593,CL4,CL6,CL0,CL6,CL0,CL0,0
149,35-44,0.49788,Female,Professional Diploma,UK,White,-0.05188,-1.09207,-2.63199,-0.91699,0.25953,-1.37983,-1.54858,CL4,CL6,CL0,CL6,CL0,CL0,0
150,45-54,1.09449,Female,University Degree,UK,White,-0.79151,1.93886,-0.71727,2.03972,1.63088,-0.21712,-1.18084,CL4,CL3,CL2,CL6,CL0,CL1,0
151,35-44,0.49788,Female,Some College,UK,White,-0.24649,1.28610,0.14143,0.59042,1.13407,0.19268,0.07987,CL5,CL6,CL0,CL6,CL0,CL1,0
152,35-44,0.49788,Female,University Degree,UK,White,0.52135,-1.63340,-1.82919,0.43852,-0.89891,-0.71126,-0.84637,CL5,CL6,CL2,CL6,CL0,CL2,1
